tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
NED20-3	NED20	0	Intrusive	Diabase		6.4	0.0	0	90.8	-15	This study	SO-CMD-NORTH	g	i
NED20-4	NED20	0	Intrusive	Diabase		330.9	0.0	0	90.8	-16	This study	SO-CMD-NORTH	g	i
NED20-5	NED20	0	Intrusive	Diabase		48.8	0.0	0	90.8	-17	This study	SO-CMD-NORTH	g	i
NED20-6	NED20	0	Intrusive	Diabase		61.0	0.0	0	90.8	-26	This study	SO-CMD-NORTH	g	i
NED20-7	NED20	0	Intrusive	Diabase		8.5	0.0	0	90.8	-41	This study	SO-CMD-NORTH	g	i
NED20-8	NED20	0	Intrusive	Diabase		59.8	0.0	0	90.8	-19	This study	SO-CMD-NORTH	g	i
NED27-1	NED27	0	Intrusive	Diabase		20.8	0.0	0	90.0	-6	This study	SO-CMD-NORTH	g	i
NED27-2	NED27	0	Intrusive	Diabase		246.8	0.0	0	90.0	-15	This study	SO-CMD-NORTH	g	i
NED27-3	NED27	0	Intrusive	Diabase		229.8	0.0	0	90.0	-6	This study	SO-CMD-NORTH	g	i
NED27-4	NED27	0	Intrusive	Diabase		223.8	0.0	0	90.0	-4	This study	SO-CMD-NORTH	g	i
NED27-5	NED27	0	Intrusive	Diabase		216.8	0.0	0	90.0	-4	This study	SO-CMD-NORTH	g	i
NED27-6	NED27	0	Intrusive	Diabase		107.8	0.0	0	90.0	-4	This study	SO-CMD-NORTH	g	i
NED27-7	NED27	0	Intrusive	Diabase		188.8	0.0	0	90.0	-18	This study	SO-CMD-NORTH	g	i
NED27-8	NED27	0	Intrusive	Diabase		177.8	0.0	0	90.0	-10	This study	SO-CMD-NORTH	g	i
NED32-1	NED32	0	Intrusive	Diabase		163.9	0.0	0	90.0	-23	This study	SO-CMD-NORTH	g	i
NED32-2	NED32	0	Intrusive	Diabase		163.1	0.0	0	90.0	-24	This study	SO-CMD-NORTH	g	i
