tab	specimens																							
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
NED1-1b	NED1-1b_LP-DIR-AF	NED1-1		mc	159.7	62.5	1	5	-1	2.8	1	0.04	0.025	T	hargrave 2018-09-21 18:45:36	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-1b	NED1-1b_LP-DIR-AF	NED1-1		mc	139.2	74.1	1	5	0	2.8	1	0.04	0.025	T	hargrave 2018-09-21 18:45:36	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-1b		NED1-1																This study	LP-NOMAG				ECMB	NED1
NED1-2b	NED1-2b_LP-DIR-AF	NED1-2		mc	164.1	66.9	1	7	-1	3.4	0.4	0.04	0.02	T	hargrave 2018-09-21 19:30:31	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-2b	NED1-2b_LP-DIR-AF	NED1-2		mc	149.9	76.3	1	7	0	3.4	0.4	0.04	0.02	T	hargrave 2018-09-21 19:30:31	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-2b		NED1-2																This study	LP-NOMAG				ECMB	NED1
NED1-3b	NED1-3b_LP-DIR-AF	NED1-3		lc	214.6	74.9	2	6	-1	24.6	6.3	0.005	0	T	hargrave 2018-09-21 20:16:19	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-3b	NED1-3b_LP-DIR-AF	NED1-3		mc	114.1	69.6	2	5	-1	3.7	0.9	0.04	0.025	T	hargrave 2018-09-21 20:16:19	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED1
NED1-3b	NED1-3b_LP-DIR-AF	NED1-3		lc	9.1	81.2	2	6	0	24.6	6.3	0.005	0	T	hargrave 2018-09-21 20:16:19	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
NED1-3b	NED1-3b_LP-DIR-AF	NED1-3		mc	154.6	70.4	2	5	0	3.7	0.9	0.04	0.025	T	hargrave 2018-09-21 20:16:19	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED1
