Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Laurentia_plon,Laurentia_plat,Duluth_plat,,
Baltica,Zigan formation clastic rocks -C,45302,,R+,,53.7,56.7,36,99,107.7,-15.4,15.4,26,4.8,-16.2,138.4,4.1,4.1,4.1,0or100,AF+TH,1,1,1,1,1,1,0,1,1,0,5,B,548,544,551,"547.6 ± 3.8, Levashova et al. (2013)",Zigan formation clastic rocks -C,"Levashova, N.M., Bazhenov, M.L., Meert, J.G., Kuznetsov, N.B., Golovanova, I.V., Danukalov, K.N., Fedorova, N.M.",2013,Precambrian Res.,236,16-30,"Paleogeography of Baltica in the Ediacaran: Paleomagnetic and geochronological data from the clastic Zigan formation, South Urals",,,,,
Baltica-Urals,Zigan HTC thin beds,11270,,R+,0,56.7,544,6,49,107.3,-18.7,18.7,36.6,11.2,-18,138.3,6.1,11.7,10.7,mixed,TH,1,1,1,1,1,1,1,0,1,0,5,B,548,560,575,"547.6 Â± 3.8 (U-Pb) Levashova et al. (2013), it is unknown if the dated tuff belongs to Zigan or Basu Frm. ",Zigan Frm.,"Bazhenov, M.L., Levashova, N.M., Meert, J.G., Golovanova, I.V., Danukalov, K.N., Fedorova, N.M.",2016,Earth Plan. Sci. Lett.,435,124-135,Late Ediacaran magnetostratigraphy of Baltica: Evidence for Magnetic Field Hyperactivity?,,,,,
Baltica,MEAN Vendian sediments,NEW,3 studies pole mean weighted by specimens,R+,100,65.5,40.0,3,651,298.5,38.5,38.5,1000.0,0.1,31.3,293.0,9.9,9.9,9.9,MIXED,4,1,1,1,1,1,1,0,1,1,1,6,B,556,555,556,"555.5±0.3, Martin+00",MEAN Vendian sediments,LULEÅ WORKING GROUP MEAN,2009,,,,,,,,,
Baltica,Chernokamenskay group sediments -C,53549,,R-,,58.5,58.4,19,110,297.2,8,8.0,16.8,8.4,17.3,306.7,6,6,6,84,TH,1,1,1,1,1,1,0,1,1,1,6,B,557,544,570,"557 ± 13, Ronkin et al. (2006)",Chernokamenskay group sediments -C,"Fedorova, N.M., Levashova, N.M., Meert, J.G., Maslov, A.V., Krupenin, M.T.",2014,Dokl. Earth Sci.,456,512-516,New paleomagnetic data on Baltica based on upper Ediacaran deposits on the western slope of the Middle Urals,,,,,
Baltica-Urals,Basu formation  (precise),10852,,R+,,53.9,56.9,24,171,55.9,-35,35,47.8,4.3,1.7,186.1,2.9,5,3.8,mixed,TH,1,1,1,1,1,1,1,0,1,1,6,B,560,550,570,"560-575, based on fossils",Basu Frm.,"Levashova, N.V., Bazhenov, M.L., Meert, J.G., Danukalov, K.N., Golovanova, I.V., Kuznetsov, N.B., Fedorova, N.M.",2015,Gondwana Res.,28,191-208,Paleomagnetism of upper Ediacaran clastics from the South Urals: Implications to paleogeography of Baltica and the opening of the Iapetus Ocean,,,,,
Baltica,Basu-Kukkarauk formation -C,39302,, R+,,54,57,17,117,55.2,-37.2,37.2,38.9,5.8,1.1,187.3,5.8,5.8,5.8,54,AF+TH,1,1,1,1,1,1,0,1,1,1,6,B,562,557,567,"557-567, Grazhdankin et al.",Basu-Kukkarauk formation -C,"Golovanova, I.V., Danukalov, K.N., Kozlov, V.I., Puchkov, V.N., Pavlov, V.E., Gallet, Y., Levashova, N.M., Sirota, G.S., Khairullin, R.R., Bazhenov, M.L.",2011,"Izvestiya, Phys. Solid Earth",47,623-635,Paleomagnetism of the Upper Vendian Basu Formation of the Bashkirian Meganticlinorium Revisited,,,,,
Baltica,Kurgashlya formation,new,,R+,,53.32,57.53,,44,313.2,51.9,51.9,21.8,4.7,50.9,314.5,5.3,5.3,5.3,mixed,AF+TH,1,1,1,1,1,1,0,1,1,1,6,A,565,560,570,"570-560, Grazhdankin et al.",Kurgashlya formation,"Lubnina,N.V., Pisarevsky, S. A., Puchkov, V.N., Kozlov, V.I., Sergeeva, N.D.",2014,Int. J. Earth Sci.,103,1317-1334,,,,,,
Baltica,Bakeevo formation,new,,"R+, G+",,54.94,58.16,,48,316.5,36.3,36.3,13.3,5.9,42.3,299.1,5.3,5.3,5.3,mixed,AF+TH,1,1,1,1,1,1,1,1,1,1,7,A,565,560,570,"570-560, Grazhdankin et al.",Bakeevo formation,"Lubnina,N.V., Pisarevsky, S. A., Puchkov, V.N., Kozlov, V.I., Sergeeva, N.D.",2014,Int. J. Earth Sci.,103,1317-1334,,,,,,
Baltica,Volhyn lavas,new,"A1,A2,A3,A3*,A4",,100,51.2,26.0,5,106,216.4,70.2,70.2,20.0,17.7,19.8,4.4,28.3,28.3,28.3,MIXED,4,1,1,1,0,0,1,0,1,1,0,4,B,571,561,580,", GPMDB4.6",Volhyn lavas,"Elming,S.-Å., Kravchenko,S.N., Layer,P., Rusakov,O.M., Glevasskaya,A.M., Mikhailova,N.P., Bachtadse,V.",2007,J. Geol. Soc. London,164,969-982,"Palaeomagnetism and 40Ar/39Ar age determinations of the Ediacaran traps from the southwestern margin of the East European Craton, Ukraine: relevance to the Rodinia break-up",,,,,
Baltica,Egersund dykes,new,,C+,0,58.8,5.9,9,68,120.0,69.0,69.0,28.0,10.0,31.4,44.1,14.4,17.0,15.7,0or100,4,1,1,1,1,1,1,1,1,0,0,5,A,616,613,619,"616±3, 616±3, Bingen+98",Egersund dykes,"Walderhaug, H.J., Torsvik, T.H., Halvorsen, E.",2007,Geophys. J. Int.,168,935-948,The Egersund dykes (SW Norway): a robust Early Ediacaran (Vendian) palaeomagnetic pole from Baltica,,,,,
