experiment,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
FC,10.00305,0,0.001379368,0.9859664,1/7/2020 8:21:44 PM
FC,15.54258,0,0.001259957,0.9859237,1/7/2020 8:23:07 PM
FC,20.50543,0,0.001168975,0.9857025,1/7/2020 8:24:06 PM
FC,26.59969,0,0.001067827,0.9859951,1/7/2020 8:25:20 PM
FC,30.49434,0,0.00099946,0.9852677,1/7/2020 8:26:08 PM
FC,35.52339,0,0.000912447,0.9856863,1/7/2020 8:27:08 PM
FC,40.5228,0,0.000826873,0.9855965,1/7/2020 8:28:10 PM
FC,45.53534,0,0.000760786,0.9853714,1/7/2020 8:29:11 PM
FC,50.58574,0,0.000698156,0.9852672,1/7/2020 8:30:11 PM
FC,55.58701,0,0.000645636,0.984768,1/7/2020 8:31:11 PM
FC,60.46805,0,0.000617673,0.9849538,1/7/2020 8:32:10 PM
FC,65.56563,0,0.000590325,0.9847493,1/7/2020 8:33:10 PM
FC,70.54982,0,0.000555369,0.9850542,1/7/2020 8:34:11 PM
FC,75.49351,0,0.000526338,0.9847274,1/7/2020 8:35:10 PM
FC,80.60315,0,0.000498525,0.9839061,1/7/2020 8:36:11 PM
FC,85.63681,0,0.000472069,0.9842221,1/7/2020 8:37:09 PM
FC,90.5566,0,0.000445928,0.9838115,1/7/2020 8:38:07 PM
FC,95.53589,0,0.000422311,0.982903,1/7/2020 8:39:08 PM
FC,100.6414,0,0.000403524,0.9832736,1/7/2020 8:40:09 PM
FC,105.4924,0,0.000385756,0.9832902,1/7/2020 8:41:13 PM
FC,110.5999,0,0.00037003,0.9837853,1/7/2020 8:42:09 PM
FC,115.5814,0,0.000352858,0.9828712,1/7/2020 8:43:07 PM
FC,120.5811,0,0.000332436,0.982785,1/7/2020 8:44:05 PM
FC,125.533,0,0.000304666,0.9827055,1/7/2020 8:45:05 PM
FC,130.5511,0,0.000281437,0.9810957,1/7/2020 8:46:06 PM
FC,135.6122,0,0.000273896,0.9820025,1/7/2020 8:47:07 PM
FC,140.4763,0,0.000269234,0.9826325,1/7/2020 8:48:05 PM
FC,145.5742,0,0.000264305,0.9821327,1/7/2020 8:49:07 PM
FC,150.5566,0,0.000260727,0.9829097,1/7/2020 8:50:05 PM
FC,156.6087,0,0.000256211,0.9823226,1/7/2020 8:51:19 PM
FC,160.5067,0,0.000252346,0.9814763,1/7/2020 8:52:15 PM
FC,165.5392,0,0.000249111,0.9823614,1/7/2020 8:53:15 PM
FC,170.6422,0,0.00024624,0.981342,1/7/2020 8:54:12 PM
FC,175.6219,0,0.000243033,0.9811662,1/7/2020 8:55:10 PM
FC,180.5307,0,0.000239385,0.9813702,1/7/2020 8:56:09 PM
FC,185.575,0,0.000235978,0.9822503,1/7/2020 8:57:08 PM
FC,190.5698,0,0.000233172,0.9817526,1/7/2020 8:58:06 PM
FC,195.7417,0,0.000230346,0.9827151,1/7/2020 8:59:00 PM
FC,200.5208,0,0.000227215,0.9829276,1/7/2020 8:59:49 PM
FC,205.526,0,0.000223505,0.9820426,1/7/2020 9:00:51 PM
FC,210.448,0,0.000220601,0.9830835,1/7/2020 9:01:57 PM
FC,215.4897,0,0.000217027,0.982672,1/7/2020 9:03:02 PM
FC,220.5243,0,0.000213445,0.9844841,1/7/2020 9:04:03 PM
FC,225.5316,0,0.000210655,0.9829275,1/7/2020 9:05:05 PM
